region;state;city;state_cod;city_code;region_code;health_region_name;date;epi_week;population_2019;accumulated_cases;new_cases;accumulated_deaths;new_deaths;new_recovered;new_in_care;rural_or_city
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;30/11/2020;49;219536;11460;77;196;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;01/12/2020;49;219536;11759;299;198;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;02/12/2020;49;219536;11909;150;198;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;03/12/2020;49;219536;12071;162;200;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;04/12/2020;49;219536;12215;144;202;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;05/12/2020;49;219536;12296;81;205;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;06/12/2020;50;219536;12340;44;206;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;07/12/2020;50;219536;12375;35;206;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;08/12/2020;50;219536;12532;157;210;4;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;09/12/2020;50;219536;12695;163;213;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;10/12/2020;50;219536;12956;261;214;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;11/12/2020;50;219536;13113;157;217;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;12/12/2020;50;219536;13250;137;217;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;13/12/2020;51;219536;13265;15;220;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;14/12/2020;51;219536;13335;70;222;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;15/12/2020;51;219536;13423;88;224;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;16/12/2020;51;219536;13613;190;224;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;17/12/2020;51;219536;13729;116;226;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;18/12/2020;51;219536;13857;128;233;7;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;19/12/2020;51;219536;13925;68;233;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;20/12/2020;52;219536;13965;40;243;10;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;21/12/2020;52;219536;14002;37;245;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;22/12/2020;52;219536;14092;90;248;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;23/12/2020;52;219536;14132;40;252;4;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;24/12/2020;52;219536;14208;76;252;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;25/12/2020;52;219536;14218;10;252;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;26/12/2020;52;219536;14240;22;255;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;27/12/2020;53;219536;14248;8;257;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;28/12/2020;53;219536;14274;26;257;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;29/12/2020;53;219536;14380;106;257;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;30/12/2020;53;219536;14609;229;257;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;31/12/2020;53;219536;14659;50;262;5;;;0
